"","user_id","status_id","screen_name","text"
"1","18560262","1283260709867073536","nadelman","There is no valid reason for this. The only explanation that makes sense is that the administration does not feel they can fudge the data coming through the cdc easily enough. https://t.co/Ee2aDN8PWr"
"2","2989080396","1283260709883633664","biddy_biddy_bop","“Down to Kool-Aid drinkers and next of kin” is really perfect way to  describe it https://t.co/eQr0jRnRVR"
"3","443925556","1283260710106140675","estheramma","In trump's America, OUR kids are expendable because #RecklessTrump doesn't care about anyone but himself.

He had the warnings.
He had the experts.
He chose to ignore them.

Don't allow his recklessness to kill us all.
https://t.co/dDcc9Sb6IW"
"4","227078094","1283260710265528320","rkyetta26","Imagine being Cory Gardner, or Susan Collins, or Martha McSally—or any Republican on a ballot beneath Trump this fall—and watching this shit show. You have tied your political career to this man
 https://t.co/7koHpNZJck via @BulwarkOnline"
"5","201116276","1283260710424698880","dianphillips","literally months of material here for @sarahcpr

https://t.co/wvRFSi52vY"
"6","774786524","1283260710349344768","phyllis_lemley","Sessions was Trump’s 1st Senate supporter, lent him legitimacy. In return, Sessions gave up his seat. Lost his cabinet position. Lost his dignity. Lost his reputation. Lost his comeback race. Lost his place in the party. Lost everything. Because of false faith in Donald J. Trump."
"7","1869369236","1283260710449889280","FennellyKathy","How come every single democratic senator and congressperson isn’t out in the street saying he should be removed from office?  Where is the energy?  The fury?  Save people!  He is murdering people with his madness and corruption. @TheDemocrats"
"8","3321267346","1283260710441582592","DepreMaxim","@itsevejf U’ll feel the same about the man that stands by his All Lives Matter comment? Trump stands by calling COVID-19 “Kung Flu”. His refusal 2 apologize 4 it doesn’t make it more acceptable. A society that chooses which bigotry it’s outraged by isn’t serious about rooting out bigotry."
"9","241277470","1283260710701592576","tomarild82","OK. I’m done with Mary Trump’s book. Basically the President is, psychologically-speaking, a Frankenstein-like amalgamation of Idi Amin, John Gotti, Bernie Madoff, and Nell (the jungle-child character played by Jodie Foster). I need a drink"
"10","68569604","1283260711083401216","suehallie","This is the firm Trump has chosen to replace the CDC as the federal clearing house for and owner of all covid data. Apparently no bid contract. https://t.co/uuZoDaa2BZ"
